,Address,Borough,Geocode,Node
656,"95 Wall Street, New York City",Manhattan,"(40.7047056, -74.00756981131559)",6139477279
657,"88 Pine Street, New York City",Manhattan,"(40.684452300000004, -73.87371667742364)",3630219671
658,"200 Water Street, New York City",Manhattan,"(40.707420299999995, -74.00476445538396)",6859553507
659,"80 Pine Street, New York City",Manhattan,"(40.7063803, -74.0067692828482)",7138157350
660,"10 Hanover Square, New York City",Manhattan,"(40.70446055, -74.00885347423556)",7139624406
661,"1 New York Plaza, New York City",Manhattan,"(40.7021941, -74.0120455)",42433834
666,"588 West 207th Street, New York City",Manhattan,"(40.8670351, -73.9209861)",4207641231
680,"765 Amsterdam Avenue, New York City",Manhattan,"(40.7950335, -73.96929288897707)",5669156316
681,"163 W. 97th Street, New York City",Manhattan,"(40.7945587, -73.9687567)",5669156315
682,"125 W. 97th Street, New York City",Manhattan,"(40.61548897959184, -74.03705338775511)",4206998237
683,"808 Columbus Avenue, New York City",Manhattan,"(40.7946572, -73.9666786524559)",6883962735
684,"808 Columbus Avenue, New York City",Manhattan,"(40.7946572, -73.9666786524559)",6883962735
698,"2442 Broadway, New York City",Manhattan,"(40.7909404, -73.9741523)",7004379684
700,"104 East 107th Street, New York City",Manhattan,"(40.7933995, -73.9471753)",6223478646
701,"1915 3rd Avenue, New York City",Manhattan,"(40.7912574, -73.9446799)",6216541822
702,"176 East 115th Street, New York City",Manhattan,"(40.79738245, -73.94153211731518)",7096507164
703,"216 East 120th Street, New York City",Manhattan,"(40.7998422, -73.93707525808406)",5482291246
704,"319 East 117th Street, New York City",Manhattan,"(40.79748875, -73.93616605873218)",5482291284
705,"160 East 120th Street, New York City",Manhattan,"(40.80057925, -73.93907859670554)",42443820
706,"119 West 124th Street, New York City",Manhattan,"(40.80766785, -73.94680264270762)",5266458359
707,"370 West 120th Street, New York City",Manhattan,"(40.8075684, -73.9558954)",7169900950
708,"1750 Amsterdam Avenue, New York City",Manhattan,"(40.8265979, -73.9470509)",42442628
710,"589 Amsterdam Avenue, New York City",Manhattan,"(40.789280636363635, -73.97372690909091)",42422000
711,"40 Irving Place, New York City",Manhattan,"(40.7355392, -73.9874498)",42434355
712,"1996 Amsterdam Avenue, New York City",Manhattan,"(40.8340348, -73.941405)",42438257
716,"333 West 86th Street, New York City",Manhattan,"(40.78902240587867, -73.97796817385867)",42431037
730,"529 Third Avenue, New York City",Manhattan,"(40.812824, -73.923829)",7477281986
735,"330 St. Nicholas Avenue, New York City",Manhattan,"(40.811593571428574, -73.951803)",42432931
737,"600 East 6th Street, New York City",Manhattan,"(40.723649249999994, -73.98186978011114)",42453177
738,"150 Essex Street, New York City",Manhattan,"(40.7206823, -73.9869319)",4561657052
752,"925 Broadway, New York City",Manhattan,"(40.8484382, -73.9376339)",595473330
753,"925 Broadway, New York City",Manhattan,"(40.8484382, -73.9376339)",595473330
754,"925 Broadway, New York City",Manhattan,"(40.8484382, -73.9376339)",595473330
762,"352 E 23rd Street, New York City",Manhattan,"(40.658344166666666, -73.99162080555556)",701654537
767,"401 East 20th Street, New York City",Manhattan,"(40.734824019691914, -73.97975040584122)",387184987
768,"655 6th Avenue, New York City",Manhattan,"(40.66167325, -73.98919909522992)",166878947
769,"155 5th Avenue, New York City",Manhattan,"(40.677876600000005, -73.97920030000002)",5956060042
770,"100 E 23rd Street, New York City",Manhattan,"(40.739965, -73.9862816)",42448693
771,"200 5th Avenue, New York City",Manhattan,"(40.67681175, -73.98048014110401)",5956060042
773,"167 Crosby Street, New York City",Manhattan,"(40.7258923, -73.995136)",1692433918
774,"215 West 23rd Street, New York City",Manhattan,"(40.74462025, -73.99611330245831)",4205565530
775,"140 West 23rd Street, New York City",Manhattan,"(40.7432522, -73.9943798086345)",4205565526
779,"904 Lexington Avenue, New York City",Manhattan,"(40.7677782, -73.964489)",3278932315
791,"2230 Frederick Douglass Boulevard, New York City",Manhattan,"(40.807113, -73.9531654)",4207743628
792,"2143 Adam Clayton Powell Jr. Boulevard, New York City",Manhattan,"(40.8102824, -73.94704)",2141026493
793,"2212 Frederick Douglass Boulevard, New York City",Manhattan,"(40.8063944, -73.95355636666542)",42435775
794,"505 E 120th Street, New York City",Manhattan,"(40.7978933, -73.93075807845713)",7473604339
802,"2505 Adam Clayton Powell Jr. Boulevard, New York City",Manhattan,"(40.82173795, -73.93852080280854)",4205440421
803,"1330 5th Avenue, New York City",Manhattan,"(40.7977313, -73.9491672)",6217820603
804,"801 & 807 West 181st Street, New York City",Manhattan,"(40.851029, -73.938398)",42427190
806,"111 W 110th Street, New York City",Manhattan,"(40.7986055, -73.9527915)",1203883805
810,"4988 & 4990 Broadway, New York City",Manhattan,"(40.8484382, -73.9376339)",595473330
811,"1658 Amsterdam Avenue, New York City",Manhattan,"(40.8235504, -73.9490856)",42438292
812,"201 W 72nd Street, New York City",Manhattan,"(40.7791445, -73.9824341)",5115907034
828,"1486 1st Avenue, New York City",Manhattan,"(40.7491699, -73.9695067)",6162215869
832,"2nd Avenue between E90th & E91st
Street, New York City",Manhattan,"(40.780839, -73.949743)",7132406701
841,"204 E 23rd Street, New York City",Manhattan,"(40.738369899999995, -73.98272718589831)",5266429277
842,"54 Nagle Avenue, New York City",Manhattan,"(40.8600518, -73.9294168)",7016431217
843,"3754 10th Avenue, New York City",Manhattan,"(40.8609327, -73.9220908)",42445644
844,"2003 Amsterdam Avenue, New York City",Manhattan,"(40.8341732, -73.9408535)",42438257
