Date,Service Category,Program Area,Program Type,Provider,Program Site Name,Borough,Street Address,City,State,Postcode,Latitude,Longitude,Community Board,Community Name,Council District,Census Tract 2010,NDA,NTA,BIN,BBL,Location,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
06/01/2019,Family Support,Literacy and Immigrant Services,ESL Civics,"Catholic Charities Neighborhood Services, Inc.",Catherine Sheridan Senior Center,Queens,35-24 83rd Street,Jackson Heights,NY,11372,40.75155,-73.8837,Queens CD 003,Jackson Heights,Council District 025 Queens,283,Queens Neighborhood Development Area 003,QN28,4437136,4014560001,POINT (-73.8837 40.75155),14783,65,3,5,73
06/01/2019,Educational Services,Compass,COMPASS SONYC Pilot,"Sheltering Arms Children and Family Services, Inc.",Bronx Hope,Bronx,108 WEST 174 STREET,Bronx,NY,10453,40.84703,-73.918,NULL,NULL,Council District 14 Bronx,21502,NULL,BX36,2008794,2028760008,POINT (-73.918 40.84703),10931,6,5,29,29
06/01/2019,Housing Support,CSBG,NDA Healthy Families,Good Shepherd Services,GSS Single Stop,Brooklyn,595 Sutter Avenue,Brooklyn,NY,11207,40.66914,-73.89685,Brooklyn CD 005,East New York (Pennsylvania Ave),Council District 042 Brooklyn,1156,Brooklyn Neighborhood Development Area 005,BK85,3084058,3037530043,POINT (-73.89685 40.66914),17214,45,2,25,47
06/01/2019,Housing Support,CSBG,Seniors,Brooklyn Chinese American Association Inc,BCA Avenue U Asian Senior Center,Brooklyn,2072 E. 15th Street,Brooklyn,NY,11229,40.59959,-73.95656,Brooklyn CD 015,Madison,Council District 048 Brooklyn,580,NDA Not-defined,BK44,3198079,3073190036,POINT (-73.95656000000001 40.59959),13512,32,2,15,36
06/01/2019,Educational Services,Compass,COMPASS Middle School,Research Foundation of CUNY,"Science, Technology and Research Early College High School at Erasmus",Brooklyn,911 FLATBUSH AVENUE,BROOKLYN,NY,11226,40.64979,-73.95855,NULL,NULL,Council District 40 Brooklyn,794,NULL,BK95,3336215,3051030010,POINT (-73.95855 40.64979),13510,60,2,11,43
06/01/2019,Educational Services,CSBG,High School,Brooklyn Bureau of Community Service,Brooklyn High School for Leadership and Community Service,Brooklyn,300 Willoughby Avenue,Brooklyn,NY,11205,40.69264,-73.95879,Brooklyn CD 003,Clinton Hill,Council District 033 Brooklyn,235,Brooklyn Neighborhood Development Area 002,BK69,3055165,3019260010,POINT (-73.95879 40.69264),17212,69,2,38,51
06/01/2019,Family Support,RHY,Drop-in Centers,"Sheltering Arms Children and Family Services, Inc.",Far Rockaway Youth Center,Queens,1600 Central Avenue,Queens,NY,11691,40.60518,-73.75196,Queens CD 014,Far Rockaway-Bayswater,Council District 031 Queens,103202,Queens Neighborhood Development Area 014,QN15,4297967,4155370147,POINT (-73.75196 40.60518),20529,51,3,47,59
06/01/2019,Educational Services,Literacy and Immigrant Services,ESL Civics,"Mosholu Montefiore Community Center, Inc.",Evander Childs Campus,Bronx,800 Gun Hill Road,Bronx,NY,10467,40.87595,-73.86197,Bronx CD 012,Williamsbridge-Olinville,Council District 012 Bronx,372,Bronx Neighborhood Development Area 012,BX44,2057045,2046330040,POINT (-73.86197 40.87595),11605,29,5,2,30
06/01/2019,Family Support,Beacon,Beacon,YMCA of Greater New York/Corporate,Jamaica YMCA - Beacon 54,Queens,86-02 127 Street,Richmond Hill,NY,11418,40.70264,-73.82441,409,Richmond Hill,29,14201,0,QN54,4193916,4092800001,POINT (-73.82441 40.70264),24014,46,3,28,60
06/01/2019,Housing Support,CSBG,Seniors,"Neighborhood Self-Help by Older Persons Projects, Inc.",Antonia Diaz Shakespeare Senior Housing,Bronx,1454 Shakespeare Avenue,bronx,NY,10452,40.84322,-73.92034,Bronx CD 004,Highbridge,Council District 016 Bronx,21302,Bronx Neighborhood Development Area 004,BX26,2114226,2028720117,POINT (-73.92034000000001 40.84322),10930,50,5,42,27
